[1/11/23, 3:41:35 PM] Gen: ‎Los mensajes y las llamadas están cifrados de extremo a extremo. Nadie fuera de este chat, ni siquiera WhatsApp, puede leerlos ni escucharlos.
[1/11/23, 3:41:35 PM] Venegas: ‎Venegas creó este grupo.PM]
[15/2/24, 2:32:46 PM] Anthony: Si es de datos hasta el domingo vengo
[15/2/24, 2:32:54 PM] Venegas: JAJAJAJAJA
[15/2/24, 2:33:00 PM] Venegas: Qué?😂
[15/2/24, 2:35:51 PM] Luis Fer Amey: Alguien lo veo con mucha energía
[15/2/24, 2:36:36 PM] Venegas: ‎ENCUESTA:
Marquen Optativas que les gustaría (Pueden marcar varias)
‎OPCIÓN: MA0150 (0 votos)
‎OPCIÓN: MA0250 (0 votos)
‎OPCIÓN: MA0350 (0 votos)
‎OPCIÓN: MA450 (4 votos)
‎OPCIÓN: MA0455 (Ecuaciones Diferenciales Ordinarias) (11 votos)
‎OPCIÓN: MA505 (Análisis I) (8 votos)
‎OPCIÓN: MA0840 (Probabilidad de Mate Pura - Teoría de la Medida lleva que se ve en Análisis I) (5 votos)
‎OPCIÓN: Contabilidad Intermedia I (3 votos)
‎OPCIÓN: Microeconomía II (5 votos)
‎OPCIÓN: Macroeconomía II (2 votos)
‎OPCIÓN: Programación II (17 votos)
‎OPCIÓN: Introducción a la Lógica (Escuela de Filo) (2 votos)
[15/2/24, 2:37:32 PM] Venegas: ‎ENCUESTA:
Si Actuariales tuviera optativas, las llevarían? Optativas No obligatorias
‎OPCIÓN: Lógica Simbólica Básica (1 voto)
‎OPCIÓN: Lógica Simbólica Avanzada (1 voto)
‎OPCIÓN: Sociología Básica I (0 votos)
[15/2/24, 2:38:11 PM] Javier Hernández: Macro II pero con Sauma, sino no
[15/2/24, 2:38:14 PM] Javier Hernández: Eh JAJAJ
[15/2/24, 2:38:18 PM] Venegas: *JAJAJAJAJAJA*
[15/2/24, 2:38:27 PM] Gustavo Amador: Que rayos
[15/2/24, 2:38:51 PM] Venegas: Pregunte
‎[15/2/24, 2:53:32 PM] Luis Fer Amey: ‎sticker omitido
[16/2/24, 12:28:03 AM] Corella: Acuérdesen de la prematricula
‎[16/2/24, 12:40:36 AM] Paula: ‎sticker omitido
[16/2/24, 9:32:50 AM] Dixon Montero: Como que prematricula?
[16/2/24, 9:33:46 AM] Adrian: Del primer semestre. Es del 16 al 20 (creo)
[16/2/24, 9:33:53 AM] Anthony: Prematricula del primer semestre
[16/2/24, 9:35:13 AM] Dixon Montero: Oka gracias
[16/2/24, 9:38:29 AM] Venegas: Diay si imbecil, en menos de un mes entramos al semestre hpta mongolo
[16/2/24, 9:38:34 AM] Venegas: Carepicha
[16/2/24, 9:45:52 AM] Anthony: Gente, a alguien le sale Intro a Ciencias Actuariales en prematricula?
[16/2/24, 9:45:57 AM] Anthony: Hay que llevar eso??
[16/2/24, 9:48:17 AM] Adrian: No es necesario. Es más por si uno quiere. Eso me dijo Juanga hace como 6 meses.
[16/2/24, 9:48:27 AM] Adrian: Y si, a todos nos sale creo
[16/2/24, 9:48:42 AM] Adrian: De hecho si se mete a su expediente académico va a ver qué lo tiene convalidado
[16/2/24, 9:50:14 AM] Adrian: De hecho ese curso ahora se ocupa para teoría del interés. Por eso lo convalidaron
[16/2/24, 9:50:31 AM] Venegas: si
[16/2/24, 9:50:37 AM] Venegas: Confirmo
[16/2/24, 9:52:21 AM] Anthony: Okok
‎[17/2/24, 12:10:45 PM] Adrian: ‎imagen omitida
[17/2/24, 12:13:09 PM] Venegas: XD
[17/2/24, 12:13:54 PM] Ashley Padilla: Ni vas
[17/2/24, 12:14:05 PM] Anthony: frfr
[17/2/24, 12:14:06 PM] Adrian: Hagan el cotorreo mas chido entonces
[17/2/24, 12:14:59 PM] Venegas: xd
[17/2/24, 12:15:04 PM] Venegas: 4r
[19/2/24, 3:48:57 PM] Dixon Montero: https://youtube.com/@LuisRinconUNAM?si=0gPRwHCsoHLV52v8
‎[19/2/24, 5:27:29 PM] Paula: ‎sticker omitido
‎[19/2/24, 6:50:49 PM] Javier Hernández: ‎imagen omitida
‎[20/2/24, 10:37:07 AM] Venegas: Plan-Actualizado.pdf • ‎4 páginas ‎documento omitido
‎[20/2/24, 10:49:12 AM] Paula: ‎sticker omitido
‎[21/2/24, 6:05:19 PM] Venegas: ‎imagen omitida
[21/2/24, 6:05:29 PM] Venegas: ahí me disculpan el "Ibam"
[21/2/24, 6:05:30 PM] Venegas: jajajaja
[21/2/24, 6:07:28 PM] Paula: Puesto el viernes, alguien que ponga casa
‎[21/2/24, 6:07:31 PM] Paula: ‎sticker omitido
[21/2/24, 6:09:50 PM] Venegas: JAJAJAJAJAJAJAJA
[21/2/24, 6:09:53 PM] Venegas: Nada más
[23/2/24, 6:11:36 AM] Venegas: TWINKIE WINKY
[23/2/24, 6:11:49 AM] Venegas: TWINKIE WINKY MUCHACHONES
[23/2/24, 6:11:53 AM] Venegas: LA TIERRA LES DICE
[23/2/24, 6:12:01 AM] Venegas: "LAVENSE EL CULO QUE HOY NOS TOCA"
‎[23/2/24, 6:12:05 AM] Venegas: ‎sticker omitido
‎[23/2/24, 6:57:34 AM] Paula: ‎sticker omitido
[23/2/24, 6:59:06 AM] Venegas: Alguien ya está en la U?
[23/2/24, 6:59:10 AM] Venegas: 🤔🤔🤔🤔
[23/2/24, 6:59:38 AM] Adrian: Quiere que le quite los nervios con unos besos?
[23/2/24, 7:00:18 AM] Venegas: Shi
‎[23/2/24, 7:00:20 AM] Venegas: ‎sticker omitido
[23/2/24, 7:00:39 AM] Javier Hernández: Uy
[23/2/24, 7:00:40 AM] Javier Hernández: Ya llego ‎<Se editó este mensaje.>
[23/2/24, 7:01:06 AM] Adrian: usted sabe que me habia quedado dormido y esta picha me desperto xd. No llego tarde por usted
[23/2/24, 7:01:22 AM] Venegas: jajajajaja
[23/2/24, 7:01:22 AM] Adrian: hagan fila, al primero le toco la tula tambien
[23/2/24, 7:01:29 AM] Venegas: Suerte a todos chiquillxs
‎[23/2/24, 7:01:31 AM] Venegas: ‎sticker omitido
[23/2/24, 7:01:35 AM] Venegas: Los TKM
[23/2/24, 7:05:18 AM] Luis Fer Amey: Wait a que hora es el examen? 🫠
[23/2/24, 7:05:32 AM] Adrian: 9 pero raul dijo que llegaba como a las 8
[23/2/24, 7:05:35 AM] Corella: 9 pero el profe planeaba llegar a las 8
[23/2/24, 7:05:38 AM] Luis Fer Amey: Fac
[23/2/24, 7:05:51 AM] Luis Fer Amey: Me acabo de despertar weh
[23/2/24, 7:06:19 AM] Javier Hernández: Oficialmente es a las nueve, pero supuestamente si llegamos a las ocho y nos abren la clase podría empezar desde las ocho
[23/2/24, 7:09:37 AM] Adrian: same xd
[23/2/24, 8:00:19 AM] Adrian: El profe llego a las 8? Voy de camino D:
[23/2/24, 8:00:54 AM] Gerard: X2
‎[23/2/24, 8:01:57 AM] Ashley Padilla: Introducción a la Probabilidad.pdf • ‎4 páginas ‎documento omitido
[23/2/24, 8:04:02 AM] ~ Jeremy: ‎~ Jeremy se unió usando el enlace de invitación de este grupo
‎[23/2/24, 8:20:29 AM] Venegas: ‎imagen omitida
‎[23/2/24, 8:20:32 AM] Venegas: ‎imagen omitida
[23/2/24, 4:10:49 PM] Adrian: Toda nerviosa. Cosita
[23/2/24, 6:17:01 PM] Venegas: A cada rato veo el cel pensando "Habrá mandado las notas ya?"
[23/2/24, 6:17:08 PM] Venegas: Estoy ansioso banda, ayuda
‎[23/2/24, 6:17:11 PM] Venegas: ‎sticker omitido
‎[23/2/24, 6:24:25 PM] Paula: ‎sticker omitido
[23/2/24, 6:25:03 PM] Adrian: Mae ando hecho una picha y no puedo dormir
‎[23/2/24, 6:25:15 PM] Adrian: ‎sticker omitido
‎[23/2/24, 6:26:29 PM] Luis Fer Amey: ‎sticker omitido
[23/2/24, 6:27:02 PM] Luis Fer Amey: Sinceramente el examen estaba un poco violento
[23/2/24, 6:28:02 PM] Javier Hernández: Un poco? Jaja
[23/2/24, 6:28:14 PM] Javier Hernández: Estaba violento
[23/2/24, 6:28:32 PM] Javier Hernández: Estaba para hacerlo en 3, pero días
[23/2/24, 6:29:27 PM] Paula: Y si todos nos ponemos de rodillas para que las tareas valgan 35?
‎[23/2/24, 6:29:33 PM] Paula: ‎sticker omitido
[23/2/24, 7:01:15 PM] Venegas: XDDDD
[23/2/24, 7:01:20 PM] Venegas: Mae qué picha
‎[23/2/24, 8:28:54 PM] Venegas: ‎imagen omitida
[23/2/24, 9:04:34 PM] Ashley Padilla: Ya están las notas
‎[23/2/24, 9:05:41 PM] Javier Hernández: ‎sticker omitido
[23/2/24, 9:17:34 PM] Luis Fer Amey: De chill
‎[23/2/24, 9:30:10 PM] Javier Hernández: ‎sticker omitido
‎[27/2/24, 12:44:41 AM] Adrian: ‎imagen omitida
‎[27/2/24, 12:45:19 AM] ~ Jeremy: ‎sticker omitido
[27/2/24, 12:45:21 AM] ~ Jeremy: Jajaja
‎[27/2/24, 7:32:37 AM] Luis Fer Amey: ‎sticker omitido
‎[1/3/24, 4:55:27 PM] Javier Hernández: ‎imagen omitida
‎[1/3/24, 4:55:27 PM] Javier Hernández: ‎imagen omitida
‎[1/3/24, 4:55:27 PM] Javier Hernández: ‎imagen omitida
[1/3/24, 5:12:28 PM] Javier Hernández: Alguien tiene habilidades en dibujo que se mande con una buena idea? 🥲
‎[1/3/24, 5:13:35 PM] Venegas: ‎sticker omitido
[1/3/24, 5:13:37 PM] Venegas: Desde el 2020 me mando y siempre pierdo
[1/3/24, 5:13:56 PM] Javier Hernández: Pero esta vez cuenta con apoyo
[1/3/24, 5:13:58 PM] Javier Hernández: Jajaja
[1/3/24, 5:14:28 PM] Venegas: Desde 2020 lo tengo
‎[1/3/24, 5:14:29 PM] Venegas: ‎sticker omitido
[1/3/24, 5:27:58 PM] Andrés Montero: Aquí apoyamos
‎[1/3/24, 5:27:59 PM] Andrés Montero: ‎sticker omitido
[1/3/24, 5:29:13 PM] Venegas: jajajaja
[4/3/24, 8:12:10 AM] Ashley Padilla: ‎Cambió tu código de seguridad con Ashley Padilla.
[5/3/24, 6:36:38 AM] Anthony: Gente, mañana son las reuniones informativas del TCU-725
‎[5/3/24, 6:36:41 AM] Anthony: ‎imagen omitida
[5/3/24, 7:53:11 AM] Adrian: Los chances de yo metiendo TCU son los mismos que vos dejando de ser un rico
[5/3/24, 12:26:23 PM] Gustavo Amador: Gracias
[5/3/24, 6:48:43 PM] Venegas: https://ci.ucr.ac.cr/cambio-en-el-acceso-redes-inalambricas-ucr
‎[5/3/24, 7:25:36 PM] Paula: ‎sticker omitido
[7/3/24, 8:04:06 AM] Paula: ‎Cambió tu código de seguridad con Paula.
‎[10/3/24, 4:14:38 PM] Venegas: Horario-y-Tarifas-Buses-Externos-I-Ciclo-2024.pdf • ‎4 páginas ‎documento omitido
[10/3/24, 9:26:34 PM] Venegas: https://maikolsolis.com
[10/3/24, 9:26:41 PM] Venegas: En esa página está lo de Estadística
[10/3/24, 9:26:47 PM] Venegas: zorras, por si quieren ir viendo
[10/3/24, 9:26:54 PM] Venegas: El libro se los paso más noche
[10/3/24, 9:26:57 PM] Venegas: no lo he buscado
‎[10/3/24, 9:27:20 PM] Venegas: Capitulo 4.pdf • ‎47 páginas ‎documento omitido
‎[10/3/24, 9:27:21 PM] Venegas: Capítulo 0.pdf • ‎16 páginas ‎documento omitido
‎[10/3/24, 9:27:22 PM] Venegas: Capitulo 1.pdf • ‎42 páginas ‎documento omitido
‎[10/3/24, 9:27:22 PM] Venegas: Capitulo 2.pdf • ‎33 páginas ‎documento omitido
‎[10/3/24, 9:27:22 PM] Venegas: Capitulo 3.pdf • ‎45 páginas ‎documento omitido
‎[10/3/24, 9:27:23 PM] Venegas: EstocasticosActuariado apuntes.pdf • ‎132 páginas ‎documento omitido
[10/3/24, 9:27:25 PM] Venegas: Tengo eso de Estocásticos, por si lo quieren ir viendo
‎[10/3/24, 9:28:20 PM] Corella: Probability and Statistics.pdf • ‎1.364 páginas ‎documento omitido
[10/3/24, 9:29:34 PM] Venegas: Conoce mi zorra
[10/3/24, 9:29:35 PM] Venegas: gracias
[10/3/24, 9:32:12 PM] Adrian: que saico. Pase como 1 hora buscandolo y me rendi. Corella my goat
‎[11/3/24, 8:04:26 AM] Venegas: HORARIO-BUS-INTERNO-I-2024.pdf • ‎1 página ‎documento omitido
‎[11/3/24, 8:49:50 AM] Gustavo Amador: ‎imagen omitida
[11/3/24, 8:50:16 AM] Gerard: Yo también me quedé pensando lo mismo 😅
[11/3/24, 8:50:31 AM] Venegas: Deberían
[11/3/24, 8:50:34 AM] Venegas: Pero son 4
[11/3/24, 10:06:39 AM] Dixon Montero: Ya vieron que hay que hacer bitacoras
[11/3/24, 10:06:52 AM] Dixon Montero: Y foros
‎[11/3/24, 10:10:23 AM] Ashley Padilla: carta_estudiante_CA_303_I_ciclo_2024.pdf • ‎12 páginas ‎documento omitido
[11/3/24, 10:10:48 AM] Venegas: CA-0303
ca0303
[11/3/24, 10:16:14 AM] Venegas: Siemto que el profe es como nervioso
[11/3/24, 10:16:17 AM] Venegas: siento***
‎[11/3/24, 10:16:21 AM] Venegas: ‎sticker omitido
[11/3/24, 11:10:19 AM] Venegas: -Exclamó el doctor en Estadística** ‎<Se editó este mensaje.>
[11/3/24, 11:46:50 AM] Venegas: maikol.solis@ucr.com
‎[11/3/24, 1:51:20 PM] Venegas: David C. M. Dickson, Mary R. Hardy, Howard R. Waters - Actuarial Mathematics for Life Contingent Risks (International Series on Actuarial Science) (2020, Cambridge.pdf • ‎786 páginas ‎documento omitido
‎[11/3/24, 9:46:13 PM] Venegas: ‎imagen omitida
‎[12/3/24, 12:33:24 PM] Gustavo Amador: ‎imagen omitida
[12/3/24, 12:33:33 PM] Corella: Nop
‎[12/3/24, 6:42:49 PM] Adrian: ‎imagen omitida
[12/3/24, 7:28:26 PM] Venegas: Gracias Rey!
[13/3/24, 8:09:07 AM] Dixon Montero: https://t.me/+RMqn4EIvJ1w4ZDU5
[13/3/24, 8:09:18 AM] Dixon Montero: Ese es link del grupo con el profe
[13/3/24, 8:37:58 AM] Dixon Montero: https://youtu.be/VdGzPZ31ts8?si=1BS8ZT30zX3Shj46
[13/3/24, 8:38:06 AM] Dixon Montero: Importante para el viernes
[13/3/24, 3:55:30 PM] Santiago Actuariales: Hola, se me ocurrió que a los que no han llevado herramientas les podrían servir los HTML del curso (del semestre pasado), igual si alguno quiere repasar para este semestre, ojalá les sirva
‎[13/3/24, 3:55:36 PM] Santiago Actuariales: Bucles,-condicionales-y-funciones.html ‎documento omitido
‎[13/3/24, 3:55:36 PM] Santiago Actuariales: Objetos-en-R.html ‎documento omitido
‎[13/3/24, 3:55:36 PM] Santiago Actuariales: Paralelizacion.html ‎documento omitido
‎[13/3/24, 3:55:37 PM] Santiago Actuariales: Visualizaciones-en-R.html ‎documento omitido
‎[13/3/24, 3:55:37 PM] Santiago Actuariales: Clase-de-Rshiny[1].html ‎documento omitido
[13/3/24, 4:22:03 PM] Paula: Gracias
[13/3/24, 4:23:14 PM] Venegas: Gracias Santi
[13/3/24, 5:14:40 PM] Dixon Montero: Gracias🫶🏽
‎[13/3/24, 11:27:44 PM] Javier Hernández: ‎imagen omitida
‎[13/3/24, 11:28:29 PM] Javier Hernández: ‎sticker omitido
[13/3/24, 11:28:31 PM] Paula: Gracias
‎[13/3/24, 11:28:36 PM] Paula: ‎sticker omitido
‎[13/3/24, 11:28:39 PM] Felix: ‎sticker omitido
[14/3/24, 4:38:03 AM] Venegas: Carepinga ese
[14/3/24, 4:38:06 AM] Venegas: y yo ya despierto
[14/3/24, 4:38:26 AM] Venegas: Le voy a meter su pichazo, por andar con el culo flojo, que se tome una Alkd y que de clases
‎[14/3/24, 4:38:32 AM] Venegas: ‎sticker omitido
[14/3/24, 5:57:38 AM] Adrian: Pa ni picha me dormí leyendo maikolsolis.com xD
[14/3/24, 6:10:39 AM] Venegas: JAJAJAJjaka
[14/3/24, 6:10:41 AM] Venegas: Sí gui
[14/3/24, 6:10:43 AM] Venegas: fui***
[14/3/24, 7:19:57 AM] Luis Fer Amey: A
[14/3/24, 7:40:03 AM] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
[14/3/24, 9:07:37 AM] ~ Roberto Peralta: ‎Adrian añadió a ~ Roberto Peralta.
‎[14/3/24, 2:12:38 PM] Venegas: ‎imagen omitida
‎[14/3/24, 2:22:59 PM] Paula: ‎sticker omitido
[14/3/24, 8:43:50 PM] Adrian: me voy a graduar sin que viquez me quite la virginidad
[14/3/24, 8:44:03 PM] Venegas: JAJAJAJAJA
Ojalá no pase
[15/3/24, 9:03:08 AM] Dixon Montero: Maes a partir de la otra semana los días martes y viernes voy a estar vendiendo empanadas de papá y posiblemente de frijol
[15/3/24, 9:03:33 AM] Venegas: Rico
[15/3/24, 9:03:34 AM] Venegas: Mae
[15/3/24, 9:03:36 AM] Venegas: ho le aviso
[15/3/24, 9:03:39 AM] Venegas: Yo*
[15/3/24, 9:03:42 AM] Dixon Montero: Espero me compren porque esa beca no me sirvió
[15/3/24, 9:03:46 AM] Dixon Montero: 🥲💔
[15/3/24, 9:03:47 AM] Venegas: JAJAJAJAJAJ
[15/3/24, 9:03:51 AM] Venegas: Mae vaya reclame
[15/3/24, 9:03:57 AM] Venegas: Obas está hasta la santa picha
[15/3/24, 9:04:05 AM] Venegas: Porque supuestamente a todo mundo le vino malísima
[15/3/24, 9:08:56 AM] Adrian: Cuando era que valían?
[15/3/24, 9:09:03 AM] Venegas: 800 no era?
[15/3/24, 9:09:04 AM] Venegas: o mil?
[15/3/24, 9:09:06 AM] Venegas: 🤔🤔🤔🤔
[15/3/24, 9:09:13 AM] Adrian: Yo recordaba mil. Pero no me acuerdo
[15/3/24, 9:09:44 AM] Dixon Montero: 👈🏻
[15/3/24, 9:09:47 AM] Dixon Montero: Con fresquito
[15/3/24, 9:09:49 AM] Adrian: Es para acordarme de llevar la plata el martes porque yo mantengo con las justas xD. Que se lo diga Javi que a cada rato le pido plata prestada ‎<Se editó este mensaje.>
[15/3/24, 9:10:03 AM] Adrian: Oki bb. Guárdame una para el martes
‎[15/3/24, 1:23:36 PM] Paula: ‎sticker omitido
[15/3/24, 1:23:52 PM] Venegas: 😂😂😂😂
‎[18/3/24, 3:34:49 PM] Venegas: ‎imagen omitida
[21/3/24, 1:04:29 PM] Paula: Recuerden pagarle a dixon
‎[22/3/24, 8:43:04 AM] Venegas: ‎Video omitido
[22/3/24, 1:19:48 PM] Dixon Montero: Hoy ando empanadas de queso por si gustan
‎[22/3/24, 1:20:29 PM] Paula: ‎sticker omitido
[23/3/24, 9:25:13 AM] Gustavo Amador: Hoy es el último día para comprar camisa de semana U...
[23/3/24, 10:40:50 AM] Venegas: Feliz cumple Sofiii
‎[23/3/24, 10:40:53 AM] Venegas: ‎sticker omitido
[23/3/24, 10:41:26 AM] Venegas: 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉
[23/3/24, 3:04:52 PM] Sofía Bocker: Muchas graciass🥹
‎[23/3/24, 3:04:55 PM] Sofía Bocker: ‎sticker omitido
‎[23/3/24, 8:55:33 PM] Javier Hernández: ‎imagen omitida
[23/3/24, 8:57:38 PM] Corella: JAJAJAJA
[1/4/24, 8:04:23 PM] Fabian Brenes: ‎Cambió tu código de seguridad con Fabian.
[2/4/24, 11:43:35 AM] Dixon Montero: Maes saben si hoy hay clases
[2/4/24, 11:43:39 AM] Dixon Montero: Porque aquí no hay agua
‎[2/4/24, 11:43:43 AM] Dixon Montero: ‎sticker omitido
[2/4/24, 11:43:52 AM] Anthony: La U si tiene agua
[2/4/24, 11:44:26 AM] Corella: Mate es la que no tiene
[2/4/24, 11:44:39 AM] Corella: Pero desde la mañana han estado dando clases así
[2/4/24, 11:44:44 AM] Corella: Entonces fijo si
[2/4/24, 11:47:50 AM] Venegas: x2
[2/4/24, 11:47:50 AM] Venegas: Vaya bañese a Finca 3
[2/4/24, 11:47:51 AM] Venegas: No llegue oliendo a Toropu, carepicha
[7/4/24, 9:12:54 PM] ~ Heizel Obando Leiva: ‎Cambió tu código de seguridad con ‪+506 8982 2719‬.
‎[11/4/24, 1:48:05 AM] Adrian: ‎imagen omitida
[11/4/24, 7:53:00 AM] Venegas: JAJAJAJA
Hpta Maikol si la pide😂
[11/4/24, 11:33:16 AM] Venegas: Tocó ajuste de cuentas
‎[11/4/24, 11:33:59 AM] Venegas: ‎sticker omitido
‎[11/4/24, 3:24:27 PM] Venegas: ‎imagen omitida
[11/4/24, 3:26:19 PM] Javier Hernández: 6+6+6=18
Pero el 6 aparece 3 veces
18-3 = 15 
Y que también tiene 15? 👀 
@50687122913, @50688203427
‎[11/4/24, 3:26:35 PM] ~ Juan Pablo M.: ‎sticker omitido
[13/4/24, 12:11:41 PM] Fabian Brenes: Buenas gente
[13/4/24, 12:12:13 PM] Fabian Brenes: ‎ENCUESTA:
Mejenga contra maikol
‎OPCIÓN: Yo quiero (10 votos)
‎OPCIÓN: Paso (0 votos)
[13/4/24, 12:12:23 PM] Javier Hernández: Jajaja, yo sabía que era eso
‎[13/4/24, 12:12:39 PM] Felix: ‎sticker omitido
[13/4/24, 12:12:49 PM] Fabian Brenes: el profe me dijo que hiciera una lista y se la mandara entonces ahi voten y los apunto
‎[13/4/24, 12:12:53 PM] Javier Hernández: ‎sticker omitido
[13/4/24, 12:13:33 PM] Fabian Brenes: cualquier cosa las opciones de fecha del profe son 1) el viernes de semana u en la tarde o 2) el miércoles de semana u a las 6 de la noche
[13/4/24, 12:13:55 PM] Fabian Brenes: y la cancha esta en veremos jaja
‎[13/4/24, 12:17:34 PM] Javier Hernández: ‎sticker omitido
‎[13/4/24, 12:18:20 PM] Felix: ‎sticker omitido
‎[13/4/24, 12:20:52 PM] Corella: ‎sticker omitido
‎[13/4/24, 12:49:53 PM] Gustavo Amador: ‎sticker omitido
[13/4/24, 12:54:17 PM] Venegas: Cualquier día por mí está bien
[13/4/24, 12:54:26 PM] Venegas: Avisan cuánto hay que poner
‎[13/4/24, 12:54:32 PM] Venegas: ‎sticker omitido
‎[14/4/24, 4:43:58 PM] Ashley Padilla: ‎imagen omitida
[20/4/24, 6:33:04 PM] Ashley Padilla: ‎Cambió tu código de seguridad con Ashley Padilla.
[21/4/24, 4:45:01 PM] Fabian Brenes: buenas
[21/4/24, 4:45:13 PM] Fabian Brenes: al final el partido se va a hacer aquí https://www.google.com/maps/place/Futbol5+Cedros/@9.9410302,-84.0314747,18z/data=!4m6!3m5!1s0x8fa0e4087fe42617:0x4a8890ac7614bd3f!8m2!3d9.9409064!4d-84.0272549!16s%2Fg%2F1vrqbpvs?entry=ttu
[21/4/24, 4:45:35 PM] Fabian Brenes: dice el profe que son 2 rojos por jupa y seria el viernes
[21/4/24, 4:45:49 PM] Corella: A qué hora?
[21/4/24, 4:45:51 PM] Fabian Brenes: Apúntense aquí si sí van:
[21/4/24, 4:45:57 PM] Fabian Brenes: excelente pregunta
[21/4/24, 4:46:01 PM] Corella: Jajajaja
[21/4/24, 4:46:16 PM] Fabian Brenes: es en la tarde yo supongo que tipo 2-3
[21/4/24, 4:46:48 PM] Corella: Ok ok, gracias!
‎[21/4/24, 4:46:54 PM] Felix: ‎sticker omitido
[21/4/24, 7:24:19 PM] Venegas: Oka
[21/4/24, 7:24:26 PM] Venegas: A quién se le pasan los dos rojos?
[21/4/24, 7:42:03 PM] Javier Hernández: Apúntense aquí si sí van:
Javier
[21/4/24, 7:47:30 PM] Venegas: Apúntense aquí si sí van:
Javier
Venegas
[22/4/24, 1:06:15 PM] Venegas: *LAS CLASES EL JUEVES DE CONTINGENCIAS SON ASINCRÓNICAS*
[22/4/24, 1:06:18 PM] Venegas: !!!!!!
[22/4/24, 1:06:36 PM] Venegas: ❗❕❗❕❗❕❗❕❗❕❗❕❗❕❗❕❗❕❗❕
[22/4/24, 1:07:09 PM] Venegas: *RECUERDEN QUE VIERNES NO HAY CLASES DE ESTOCÁSTICOS*
[22/4/24, 1:07:24 PM] Venegas: ❕❗❕❗❕❗❕❗❕❗❕❗❕
[22/4/24, 1:10:45 PM] Venegas: *SOLO POR ESTE JUEVES*
[22/4/24, 1:10:46 PM] Venegas: XDDD
‎[22/4/24, 2:18:46 PM] Gustavo Amador: ‎sticker omitido
[23/4/24, 1:25:05 PM] Venegas: Zorronas, el Viernes la clase de estocásticos es *ASINCRÓNICA*
[23/4/24, 1:25:10 PM] Venegas: El profe va a dejar un material
[23/4/24, 1:25:13 PM] Venegas: para leer
[23/4/24, 1:25:19 PM] Venegas: ❕❗❕❗❕❗❕❗❕❗❕❗❕❗❕❗❕❗
[23/4/24, 1:53:06 PM] Gustavo Amador: Apúntense aquí si sí van:
Javier
Venegas
Gustavo
[23/4/24, 1:54:37 PM] Venegas: Malparido
[23/4/24, 1:54:37 PM] Venegas: Tony
[23/4/24, 1:54:37 PM] Venegas: carepicha
[23/4/24, 1:54:40 PM] Venegas: felix malparidp
[23/4/24, 1:54:41 PM] Venegas: marco carepinga
[23/4/24, 1:54:42 PM] Venegas: fabian carepistola
[23/4/24, 1:54:47 PM] Venegas: santiago felador
[23/4/24, 1:54:54 PM] Venegas: Somos 8
[23/4/24, 1:54:56 PM] Venegas: Hasta el momento
[23/4/24, 1:54:58 PM] Venegas: 🤔🤔🤔
[23/4/24, 2:28:03 PM] Santiago Actuariales: Apúntense aquí si sí van:
Javier
Venegas
Gustavo
Santiago
[23/4/24, 2:30:01 PM] Venegas: Gracias Santi
[23/4/24, 3:35:13 PM] Corella: Por si acaso
[23/4/24, 3:35:28 PM] Corella: Por compu hay un mae que está regalando tiquetes al menos hasta este momento
[23/4/24, 3:35:33 PM] Corella: De granizados y palomitas
[23/4/24, 3:36:03 PM] Corella: Ah bueno, y elotes
Pero ni idea de que tantos tiquetes de más tendrá
[23/4/24, 3:36:11 PM] Corella: Porque ahorita se cayó bastante gente jajaja
[23/4/24, 3:36:37 PM] Ashley Padilla: Me guardan un granizado
[23/4/24, 3:52:09 PM] Venegas: Claro, lo meto en el culo de @50687068012 para que se mantenga hasta el viernes que venga
[23/4/24, 3:52:11 PM] Venegas: Carepinga ‎<Se editó este mensaje.>
‎[23/4/24, 3:52:18 PM] Venegas: ‎sticker omitido
[23/4/24, 4:56:41 PM] Dixon Montero: En el culo de su hermana gran carepene
[23/4/24, 6:10:21 PM] ~ Dominick Rodríguez Trejos: ‎Cambió tu código de seguridad con ‪+506 8708 0725‬.
‎[24/4/24, 12:00:39 AM] Javier Hernández: ‎imagen omitida
[24/4/24, 12:00:45 AM] Javier Hernández: ES HOY!!
[24/4/24, 12:00:57 AM] Javier Hernández: Los veo en Qmik!! 🤪
[24/4/24, 12:01:20 AM] Dixon Montero: Los perdimos
[24/4/24, 12:01:31 AM] Dixon Montero: Hasta chinos están los hps
[24/4/24, 12:02:27 AM] Javier Hernández: 6:00 pm donde Sebas y Dixon 🥰
‎[24/4/24, 12:07:02 AM] ~ Juan Pablo M.: ‎sticker omitido
‎[24/4/24, 12:07:53 AM] Gustavo Amador: ‎sticker omitido
[24/4/24, 9:13:35 AM] Venegas: JAJAJAJAJA
[24/4/24, 9:13:42 AM] Venegas: @50686093714 usted no puede tomar rey
‎[24/4/24, 9:14:03 AM] Venegas: ‎sticker omitido
[24/4/24, 9:41:58 AM] Dixon Montero: Quien dice que no?
[24/4/24, 9:42:11 AM] Dixon Montero: Hoy Tony y yo vamos a olvidarnos hasta del nombre
[24/4/24, 12:06:57 PM] Javier Hernández: “y yo” 😳
[24/4/24, 12:07:04 PM] Javier Hernández: De qué me perdí?
[24/4/24, 6:19:41 PM] Sebas: Alguien ya viene?
